id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Inferno Rising,Crimson Void,metal,aggressive,0.88,159,0.35,0.65,0.08
12,Autumn's Memory,Harmonic Strings,classical,nostalgic,0.45,85,0.72,0.31,0.95
13,Island Sunrise,Reggae Kings,reggae,euphoric,0.68,98,0.82,0.71,0.64
14,Late Night Thoughts,Soul Echo,r&b,melancholic,0.55,92,0.42,0.68,0.58
15,Shattered Steel,Iron Fist,metal,aggressive,0.92,168,0.28,0.72,0.05
16,Waltz in the Rain,Classical Dreams,classical,nostalgic,0.38,76,0.65,0.28,0.98
17,One Love Riddim,Bob's Legacy,reggae,euphoric,0.64,104,0.85,0.69,0.72
18,Broken Strings,Urban Hearts,r&b,melancholic,0.48,88,0.38,0.62,0.68
